epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2
281,0.17,0.17201,0.12425,0.1237,2.77,49,332
282,0.17045,0.17241,0.12422,0.12367,2.78,49,332
283,0.17093,0.17291,0.12418,0.12363,2.79,49,332
284,0.17146,0.1735,0.12414,0.12359,2.8,49,332
285,0.172,0.17412,0.1241,0.12354,2.8,49,332
286,0.17251,0.17474,0.12406,0.12349,2.81,50,332
287,0.173,0.17532,0.12403,0.12345,2.82,50,333
288,0.17348,0.17586,0.12399,0.12341,2.83,50,333
289,0.17397,0.17637,0.12395,0.12337,2.84,51,333
290,0.17448,0.17685,0.12392,0.12333,2.84,50,333
291,0.17498,0.17731,0.12388,0.1233,2.85,50,333
292,0.17548,0.17773,0.12384,0.12327,2.86,50,332
293,0.17595,0.17814,0.12381,0.12324,2.87,50,332
294,0.17642,0.17857,0.12377,0.12321,2.88,49,332
295,0.17689,0.17904,0.12373,0.12317,2.89,50,332
296,0.17737,0.17954,0.1237,0.12313,2.9,50,332
297,0.17784,0.18007,0.12366,0.12309,2.9,50,332
298,0.17831,0.1806,0.12363,0.12305,2.91,50,332
299,0.17876,0.1811,0.12359,0.12302,2.92,51,333
300,0.1792,0.18158,0.12356,0.12298,2.93,51,333
301,0.17965,0.18204,0.12353,0.12295,2.94,51,333
302,0.1801,0.18248,0.12349,0.12291,2.94,51,333
303,0.18054,0.18289,0.12346,0.12288,2.95,51,333
304,0.18098,0.1833,0.12343,0.12285,2.96,51,333
305,0.18141,0.18371,0.12339,0.12282,2.97,50,332
306,0.18184,0.18414,0.12336,0.12279,2.98,50,332
307,0.18227,0.18459,0.12333,0.12275,2.99,50,332
308,0.1827,0.18506,0.1233,0.12272,2.99,50,332
309,0.18313,0.18553,0.12326,0.12268,3.0,51,333
310,0.18355,0.186,0.12323,0.12265,3.01,51,333
311,0.18396,0.18645,0.1232,0.12261,3.02,51,333
312,0.18438,0.18689,0.12317,0.12258,3.03,51,333
313,0.18479,0.1873,0.12314,0.12255,3.04,51,333
314,0.1852,0.1877,0.12311,0.12252,3.04,50,333
315,0.1856,0.1881,0.12308,0.12249,3.05,50,333
316,0.186,0.1885,0.12305,0.12246,3.06,50,332
317,0.1864,0.1889,0.12302,0.12243,3.07,50,332
318,0.1868,0.18931,0.12299,0.1224,3.08,50,332
319,0.18719,0.18973,0.12296,0.12237,3.09,50,332
320,0.18758,0.19014,0.12293,0.12233,3.09,50,333
321,0.18797,0.19056,0.1229,0.1223,3.1,50,333
322,0.18835,0.19097,0.12287,0.12227,3.11,50,333
323,0.18874,0.19136,0.12284,0.12224,3.12,50,333
324,0.18912,0.19174,0.12281,0.12221,3.13,50,333
325,0.18949,0.19212,0.12278,0.12219,3.14,50,333
326,0.18987,0.19249,0.12276,0.12216,3.15,50,333
327,0.19024,0.19286,0.12273,0.12213,3.15,50,333
328,0.19061,0.19324,0.1227,0.1221,3.16,50,332
329,0.19097,0.19362,0.12267,0.12207,3.17,50,332
330,0.19134,0.19401,0.12264,0.12204,3.18,50,333
331,0.1917,0.1944,0.12262,0.12201,3.19,50,333
332,0.19206,0.19478,0.12259,0.12198,3.2,50,333
333,0.19242,0.19516,0.12256,0.12196,3.2,50,333
334,0.19277,0.19552,0.12253,0.12193,3.21,50,333
335,0.19313,0.19588,0.12251,0.1219,3.22,50,333
336,0.19348,0.19624,0.12248,0.12187,3.23,50,333
337,0.19382,0.19658,0.12246,0.12185,3.24,50,333
338,0.19417,0.19693,0.12243,0.12182,3.25,50,333
339,0.19451,0.19729,0.1224,0.12179,3.25,50,333
340,0.19485,0.19764,0.12238,0.12177,3.26,50,333
341,0.19519,0.198,0.12235,0.12174,3.27,50,333
342,0.19553,0.19836,0.12233,0.12171,3.28,50,333
343,0.19586,0.19871,0.1223,0.12169,3.29,50,333
344,0.19619,0.19906,0.12228,0.12166,3.3,50,333
345,0.19652,0.19941,0.12225,0.12163,3.31,50,333
346,0.19685,0.19975,0.12223,0.12161,3.31,50,333
347,0.19718,0.20008,0.1222,0.12158,3.32,50,333
348,0.1975,0.20042,0.12218,0.12156,3.33,50,333
349,0.19782,0.20075,0.12215,0.12153,3.34,50,333
350,0.19814,0.20108,0.12213,0.12151,3.35,50,333
351,0.19846,0.20141,0.1221,0.12148,3.36,50,333
352,0.19878,0.20174,0.12208,0.12146,3.36,50,333
353,0.19909,0.20207,0.12205,0.12143,3.37,50,333
354,0.1994,0.20239,0.12203,0.12141,3.38,50,333
355,0.19971,0.20272,0.12201,0.12138,3.39,50,333
356,0.20002,0.20302,0.12198,0.12136,3.4,50,333
357,0.20032,0.20335,0.12196,0.12133,3.41,50,332
358,0.20062,0.20365,0.12194,0.12131,3.41,50,333
359,0.20092,0.20398,0.12191,0.12129,3.42,50,332
360,0.20122,0.20427,0.12189,0.12126,3.43,50,333
361,0.20152,0.2046,0.12187,0.12124,3.44,50,332
362,0.20181,0.20489,0.12185,0.12122,3.45,50,333
363,0.2021,0.20521,0.12182,0.12119,3.46,50,333
364,0.20239,0.20549,0.1218,0.12117,3.46,50,333
365,0.20268,0.2058,0.12178,0.12115,3.47,50,333
366,0.20297,0.20609,0.12176,0.12112,3.48,50,333
367,0.20325,0.20639,0.12174,0.1211,3.49,50,333
368,0.20353,0.20671,0.12172,0.12108,3.5,50,333
369,0.20381,0.207,0.12169,0.12106,3.51,50,333
370,0.20409,0.20731,0.12167,0.12103,3.51,50,333
371,0.20437,0.20758,0.12165,0.12101,3.52,50,333
372,0.20465,0.20788,0.12163,0.12099,3.53,50,333
373,0.20492,0.20815,0.12161,0.12097,3.54,50,333
374,0.20519,0.20845,0.12159,0.12094,3.55,50,333
375,0.20546,0.20873,0.12157,0.12092,3.56,50,333
376,0.20573,0.20902,0.12155,0.1209,3.56,50,333
377,0.206,0.20932,0.12153,0.12088,3.57,50,333
378,0.20627,0.2096,0.12151,0.12086,3.58,50,333
379,0.20653,0.20989,0.12149,0.12083,3.59,50,333
380,0.2068,0.21016,0.12147,0.12081,3.6,50,333
381,0.20706,0.21045,0.12145,0.12079,3.61,50,333
382,0.20732,0.21071,0.12143,0.12077,3.62,50,333
383,0.20758,0.21099,0.12141,0.12075,3.63,50,333
384,0.20784,0.21127,0.12139,0.12073,3.63,50,333
385,0.20809,0.21154,0.12137,0.12071,3.64,50,333
386,0.20835,0.21181,0.12135,0.12069,3.65,50,333
387,0.2086,0.21208,0.12133,0.12067,3.66,50,333
388,0.20885,0.21235,0.12131,0.12065,3.67,50,333
389,0.20911,0.21262,0.12129,0.12063,3.68,50,333
390,0.20936,0.21288,0.12127,0.12061,3.69,50,333
391,0.2096,0.21314,0.12125,0.12059,3.69,50,333
392,0.20985,0.21339,0.12123,0.12057,3.7,50,333
393,0.21009,0.21365,0.12121,0.12055,3.71,50,333
394,0.21034,0.2139,0.12119,0.12053,3.72,50,333
395,0.21058,0.21416,0.12118,0.12051,3.73,50,333
396,0.21082,0.21442,0.12116,0.12049,3.74,50,333
397,0.21106,0.21466,0.12114,0.12047,3.75,50,333
398,0.2113,0.21492,0.12112,0.12045,3.75,50,333
399,0.21154,0.21515,0.1211,0.12043,3.76,50,333
400,0.21177,0.2154,0.12108,0.12041,3.77,50,333
401,0.21201,0.21564,0.12107,0.12039,3.78,50,333
402,0.21224,0.21589,0.12105,0.12037,3.79,50,333
403,0.21247,0.21613,0.12103,0.12036,3.8,50,333
404,0.2127,0.21637,0.12101,0.12034,3.8,50,333
405,0.21293,0.21661,0.121,0.12032,3.81,50,333
406,0.21316,0.21685,0.12098,0.1203,3.82,50,333
407,0.21339,0.21708,0.12096,0.12028,3.83,50,333
408,0.21362,0.21732,0.12094,0.12027,3.84,50,333
409,0.21384,0.21754,0.12093,0.12025,3.85,50,333
410,0.21407,0.21778,0.12091,0.12023,3.85,50,333
411,0.21429,0.21801,0.12089,0.12021,3.86,50,333
412,0.21451,0.21825,0.12087,0.12019,3.87,50,333
413,0.21473,0.21848,0.12086,0.12018,3.88,50,333
